"name","category","specialties","opening_hours","address","official_url","phone","email","assistant_note"
"La parranda","TRADICIONAL","Tapas, cocina murciana y arroces por encargo en un elegante espacio de aire rústico-chic con terraza cubierta y barra de tapeo murciano . Un lugar para comer la auténtica y tradicional gastronomía murciana basada principalmente en los productos de la huerta.","No disponible en la fuente","Plaza San Juan, s/n, 30003 Murcia","http://www.laparranda.es/","+34 968 22 06 75","","cerca del centro; buena opción para cocina murciana"
"Pura Cepa","TRADICIONAL","Gastronomía Murciana con un toque especial junto al a la Iglesia de San Juan. Dispone de terraza, barra tipica murciana, salones y bodega de vinos seleccionados.","No disponible en la fuente","Plaza Cristo del Rescate, 8, 30001 Murcia","http://www.puracepamurcia.com/","+34 96 21 73 97","","cerca del centro; buena opción para cocina murciana"
"La pequeña taberna","TRADICIONAL","Platos típicos de la Región de Murcia y de la cuenca mediterránea. Carnes, pescados, mariscos y hortalizas de primera calidad se convierten en los verdaderos protagonistas de este local. Referente gastronómico de la capital murciana","No disponible en la fuente","Plaza San Juan, 7, 30003 Murcia","https://www.lapequenataberna.com/","+34 968 21 98 40","","cerca del centro; buena opción para cocina murciana"
"El Palco del Parlamento Andaluz","TRADICIONAL","Disfruta del mejor espectáculo gastronómico de Murcia en la Plaza del Teatro Romea. Menús Diarios, comidas y cenas de grupo, eventos y celebraciones especiales.","No disponible en la fuente","Plaza Julián Romea. 30001 Murcia","","+34 968 222 746","","cerca del centro; buena opción para cocina murciana"
"Restaurante Virgen del Mar","TRADICIONAL","Cocina con productos del mar y guisos caseros en su mayoría marineros. Agradable y acogedor ambiente con terraza y bar.","No disponible en la fuente","Plaza de San Nicolás, 3, bajo, 30005 Murcia","http://www.restaurantevirgendelmar.es/","+34 968 216 679","","cerca del centro; buena opción para cocina murciana"
"Torremolinos","TRADICIONAL","Guisos carnes y embutidos hacen del Torremolinos un restaurante típico de la gastronomía murciana","No disponible en la fuente","Ctra. de Churra, n 113, 30110 Churra, Murcia","http://www.torremolinosrestaurante.com/","+34 968 247 481","","buena opción para cocina murciana"
"Arrozante","TRADICIONAL","Arrozante, la Casa del Arroz,para todos aquellos amantes del arroz. Los comensales pueden deleitarse con una exquisita variedad de platos de arroz que capturan la esencia de Murcia, combinando a la perfección la tradición local con las creaciones más innovadoras.","No disponible en la fuente","Rda. de Garay, 30003 Murcia","http://www.barcelo.com/","+34 968 22 00 63","","cerca del centro; buena opción para cocina murciana"
"Rincón de Alfonso","TRADICIONAL","Restaurante en plena huerta de Murcia rodeado de limoneros, en un espacio tranquilo y acogedor, destacando su cocina casera mediterránea y nuestro trato familiar.","No disponible en la fuente","Carril Torre Los Leales 4, 30011, Los Dolores, Murcia.","","+34 659 25 41 21","","buena opción para cocina murciana"
"www.rincondealfonso.es","TRADICIONAL","Restaurantes de cocina de autor","No disponible en la fuente","Urb. Colonia Buenavista, Finca Buenavista S/N, 30120 El Palmar","https://restaurantelacabana.com/","+34 968 889 006","","buena opción para cocina murciana"
"Restaurante Odiseo","TRADICIONAL","Chef Nazario Cano. Cocina de origen mediterráneo reinventada y creativa en un espacio singular.1 estrellas Michelin","No disponible en la fuente","Av. Juan de Borbón, 224, 30110 Churra, Murcia","https://odiseospain.com/gastro/restaurante/","+34 649 222 222","","buena opción para cocina murciana"
"Local de ensayo","TRADICIONAL","Del Chef David López. Cocina creativa y técnica para actualizar las recetas murcianas con un carácter y estilo propios, nuevas ideas y ocurrencias.","No disponible en la fuente","Calle Policía Ángel García, 20, 30006 Puente Tocinos, Murcia","https://www.localdensayo.com/","+34 968 24 70 54","","buena opción para cocina murciana"
"Keki","TRADICIONAL","Del Chef Sergio Martínez. Restaurante-tapería de ambiente moderno ubicado a escasos metros de la Catedral. Cocina creativa, tapas y platos mediterráneos con toques asiáticos.","No disponible en la fuente","Calle Fuensanta, 4, 30001 Murcia","http://www.keki.es/","+34 968 22 07 98","","cerca del centro; buena opción para cocina murciana"
"AlmaMater","TRADICIONAL","Del Chef Juan Guillamón. Cocina de mercado donde la materia prima es el alma de cada plato, creativa y en constante evolución. Arraigada a la cultura gastronómica tradicional.","No disponible en la fuente","Calle Madre de Dios, 15, 30004 Murcia","https://almamatermurcia.com/","+34 868 06 95 57","","cerca del centro; buena opción para cocina murciana"
"Taulla","TRADICIONAL","Del Chef Julio Velandrino. El Restaurante Taúlla de Julio Velandrino es la cocina murciana evolucionada con las esencias del resto del mundo.","No disponible en la fuente","Calle Antonio Flores Guillamón, 2, 30100 Espinardo, Murcia","https://www.taulla.es/","+34 868 07 99 80","","buena opción para cocina murciana"
"Frases","TRADICIONAL","De María Egea y Marco Antonio Iniesta. Restaurante gastronómico de cocina de autor.","No disponible en la fuente","Calle Soledad, 1, BAJO, 30003 Murcia","https://www.facebook.com/Restaurantefrases/","+34 697 91 44 92","","cerca del centro; buena opción para cocina murciana"
"Perro Limón","TRADICIONAL","De María Crespo y Miguel Ángel Albaladejo. Cocina canalla, divertida y con técnica creada para compartir. Cocina del mundo, para todo el mundo.","No disponible en la fuente","Calle Navarra, 4, 30005 Murcia","https://www.facebook.com/perrolimon4/","+34 722 651 057","","cerca del centro; buena opción para cocina murciana"
"Restaurante Acuario","TRADICIONAL","Chef Daniel Marcos. Cocina moderna y de autor en pleno centro de Murcia. Técnica y creatividad en cada plato, con las mejores materias primas de la región.","No disponible en la fuente","Plaza Puxmarina 1 , 30004 Murcia","http://www.torremolinosrestaurante.com/","+34 968 21 99 55","","cerca del centro; buena opción para cocina murciana"
"Gastro-bares","TRADICIONAL","Tapas y pinchos con originalidad, innovación y creatividad con productos de temporada y materias primas de altísima calidad.","No disponible en la fuente","4ª planta de El Corte Inglés Av Libertad, 1 30007 Murcia.","https://www.latrastiendadepablogonzalez.com/","+34 968 295 379","","cerca del centro; buena opción para cocina murciana"
"La Bien Pagá","TRADICIONAL","De Carmen Santana. La proximidad al Mercado de Verónicas ofrece al equipo de cocina la posibilidad de trabajar con productos frescos de primera calidad traídos del mercado cada día.","No disponible en la fuente","Calle Sociedad, 1. 30004 Murcia.","","+34 968 932 626","","cerca del centro; buena opción para cocina murciana"
"CUCU Gastro Bar","TRADICIONAL","Las mejores tortillas de Patatas Gourmet de Murcia, eventos Privados, catering, carnes a la Brasa, tapas y cervezas en el barrio de Santa Eulalia.","No disponible en la fuente","Calle Marengo, 6, 30001 Murcia","","+34 868 911 078","","cerca del centro; buena opción para cocina murciana"
"Barrigaverde","TRADICIONAL","De Juan Pablo Ortiz. Tapas contemporáneas para compartir, prestando especial atención al producto de temporada.","No disponible en la fuente","Calle Maestro Salvador Ortiz, 6, 30004 Murcia","http://www.barrigaverdetaberna.com/","+34 659 730 349","","cerca del centro; buena opción para cocina murciana"
"La Tapoteca","TRADICIONAL","De Manuel Álvarez. Restaurante en el que la tapa es la protagonista. Lugar encantador para murcianos y turistas que visitan Murcia.","No disponible en la fuente","Plaza San Pedro, 3, 30004 Murcia","http://www.latapeoteca.es/","+34 663 724 059","","cerca del centro; buena opción para cocina murciana"
"El Pasaje de Zabalburu","TRADICIONAL","Moderna cervecería con terraza exterior que sirve tapas, pintxos y platos de cocina murciana actualizada.","No disponible en la fuente","Plaza San Pedro, 3, 30004 Murcia","https://pasajedezabalburu.com/","+34 622 622 167","","cerca del centro; buena opción para cocina murciana"
"Cosa Fina","TRADICIONAL","De Manolo Castro. Gastro Bar.","No disponible en la fuente","Plaza Puxmarina, 2, Planta Baja, 30004 Murcia","http://www.cosafinagastrobar.com/","+34 615 035 863","","cerca del centro; buena opción para cocina murciana"
"Mercado de Correos","TRADICIONAL","","No disponible en la fuente","Calle Pintor Villacis, 3, 30003 Murcia","https://mercadodecorreos.com/","+34 680 877 640","","cerca del centro; buena opción para cocina murciana"
"Cocina Italiana, Japonesa, Argentina, Vegana y vegetariana.","INTERNACIONAL","","No disponible en la fuente","Plaza Julián Romea, 3, 30001 Murcia","https://www.latagliatella.es/","+34 968 223 900","","cerca del centro; útil si se busca cocina internacional"
"Oven Mozzarella Bar","INTERNACIONAL","","No disponible en la fuente","Plaza Julián Romea, 5, 30001 Murcia","https://www.oven.es/","+34 968 212 719","","cerca del centro; útil si se busca cocina internacional"
"Calle Entrejardines, 1, bajo, Murcia","INTERNACIONAL","","No disponible en la fuente","","","","","útil si se busca cocina internacional"
"Mano a Mano","INTERNACIONAL","Restaurante italiano. Pizzería y Empanadillería","No disponible en la fuente","Calle Gutiérrez Mellado, 9, 30008 Murcia","https://www.manoamano-pye.com/murcia","+34 644 722 911","","cerca del centro; útil si se busca cocina internacional"
"Kappou Makoto","INTERNACIONAL","Restaurante japonés. Del Chef Makoto Himeno","No disponible en la fuente","C/ Historiador Juan Torres Fontes 20, 30011 Murcia","https://www.kappoumakoto.com/","+34 627 656 767","","útil si se busca cocina internacional"
"Maguro Square Sushi","INTERNACIONAL","","No disponible en la fuente","Plaza Mayor, 2, 30005 Murcia","https://maguromurcia.es/","+34 868 242 777","","cerca del centro; útil si se busca cocina internacional"
"Kokoro Gastro Sushi","INTERNACIONAL","","No disponible en la fuente","Complejo Princesa, Av. de la Libertad, 6, 30009 Murcia","https://www.kokorogastrosushi.com/","+34 868 077 000","","útil si se busca cocina internacional"
"Enso Sushi","INTERNACIONAL","","No disponible en la fuente","Calle Sta. Teresa, 6, 30005 Murcia","http://www.ensosushi.com/","+34 968 906 611","","cerca del centro; útil si se busca cocina internacional"
"El Quincho","INTERNACIONAL","","No disponible en la fuente","Calle Apóstoles, 10, 30001 Murcia","https://www.facebook.com/ElQuinchoParrillaArgentina","+34 968 220 591","","cerca del centro; útil si se busca cocina internacional"
"Pistatxo","INTERNACIONAL","Restaurante de cocina vegetariana.","No disponible en la fuente","Calle Alfaro, 12, 30001 Murcia","https://www.facebook.com/pistatxovegetariano/","+34 968 11 77 45","","cerca del centro; útil si se busca cocina internacional"
"Concejalía de Turismo. Ayto de Murcia","INTERNACIONAL","/*******************************/ // this is for the testimonial 3 /*******************************/ $('.testi3').owlCarousel({ loop: true, margin: 30, center: true, nav: false, dots: false, autoplay: true, responsiveClass: true, responsive: { 0: { items: 1, nav: false }, 768: { items: 2 }, 1170: { items: 3 }, 1800: { items: 5 } } })filterSelection(""all"") function filterSelection(c) { var x, i; x = document.getElementsByClassName(""filterDiv""); if (c == ""all"") c = """"; for (i = 0; i < x.length; i++) { w3RemoveClass(x[i], ""show""); if (x[i].className.indexOf(c) > -1) w3AddClass(x[i], ""show""); } } function w3AddClass(element, name) { var i, arr1, arr2; arr1 = element.className.split("" ""); arr2 = name.split("" ""); for (i = 0; i < arr2.length; i++) { if (arr1.indexOf(arr2[i]) == -1) {element.className += "" "" + arr2[i];} } } function w3RemoveClass(element, name) { var i, arr1, arr2; arr1 = element.className.split("" ""); arr2 = name.split("" ""); for (i = 0; i < arr2.length; i++) { while (arr1.indexOf(arr2[i]) > -1) { arr1.splice(arr1.indexOf(arr2[i]), 1); } } element.className = arr1.join("" ""); }$(function () { $(window).scroll(function () { if ($(this).scrollTop() > 150 || screen.width <= 768) { $('.navbar-brand-img img').attr('src','../images/LOGO-MURCIA_BLANCO.png'); } if ($(this).scrollTop() < 150) { $('.navbar-brand-img img').attr('src','../images/LOGO-MURCIA_PANTONE.png'); } if (screen.width <= 768) { $('.navbar-brand-img img').attr('src','../images/LOGO-MURCIA_BLANCO.png'); } }) });function openSearch() { document.getElementById(""myOverlay"").style.display = ""block""; }; function closeSearch() { document.getElementById(""myOverlay"").style.display = ""none""; };$(function(){ $(document).on('click', function(event) { /*if (!$(event.target).closest('#top-search').length) { $body.toggleClass('top-search-open', false); } if (!$(event.target).closest('#top-cart').length) { $topCart.toggleClass('top-cart-open', false); } if (!$(event.target).closest('#page-menu').length) { $pagemenu.toggleClass('pagemenu-active', false); } if (!$(event.target).closest('#side-panel').length) { $body.toggleClass('side-panel-open', false); }*/ }); $(""#top-search-trigger"").click(function(e){ $body.toggleClass('top-search-open'); $topCart.toggleClass('top-cart-open', false); $( '#primary-menu > ul, #primary-menu > div > ul' ).toggleClass(""show"", false); $pagemenu.toggleClass('pagemenu-active', false); if ($body.hasClass('top-search-open')){ $topSearch.find('input').focus(); } e.stopPropagation(); e.preventDefault(); }); });","No disponible en la fuente","C/ Los Molinos - Edificio Museo Hidráulico - 30002 - Murcia","","+34 968 35 86 00","informacion.turismo@ayto-murcia.es","útil si se busca cocina internacional"
