artist_name,day,artist_page,description	
"Amore,Viernes,https://warmupfestival.es/portfolio/amore/,""Desde Murcia llega Amore, el proyecto de María Moreno Martínez, una de las voces más singulares del nuevo pop nacional. En 2025 ha presentado “Top, Hits, Ballads, etc…”, su álbum debut, un ejercicio de pop experimental y mutante que celebra la mezcla de géneros y la libertad creativa. Tras trabajos como el EP “Usted está aquí” y el single “FIGHT”, Amore consolida un universo propio marcado por el cuidado del detalle y una propuesta escénica que conecta con el público."""	
"Bclip,Viernes,https://warmupfestival.es/portfolio/bclip/,""Bclip, con una propuesta que cruza electrónica, pop digital y actitud underground."""	
"Biznaga,Viernes,https://warmupfestival.es/portfolio/biznaga/,""Biznaga se han convertido en una de las bandas clave del rock estatal contemporáneo, logrando conectar la urgencia del género con el gran público. A través de una combinación afilada de melodía, discurso y actitud, han construido una canción protesta actual y reconocible. Sus cinco discos publicados hasta la fecha avalan una trayectoria sólida, sin concesiones en lo retórico ni renuncias en lo melódico."""	
"Perdón,Viernes,https://warmupfestival.es/portfolio/perdon/,""Perdón es la banda ganadora de Región de Murcia Suena. La banda está formada por Arturo Casabuena Nicolás, Leyre Ortiz García e Irene Riquelme Fernández. El proyecto nace en 2019, cuando sus integrantes coinciden sobre el escenario del Teatro Universitario de Murcia, un origen que se traduce en el marcado carácter escénico y teatral de sus directos. Su propuesta combina pop con una actitud divertida y subversiva, construyendo un universo propio tanto musical como performativo."""	
"VVV (Trippin You),Viernes,https://warmupfestival.es/portfolio/vvv-trippin-you/,""VVV (Trippin’you) es uno de los proyectos más radicales e influyentes del cruce entre post-punk y electrónica en el panorama nacional. El trío de Móstoles ha construido un sonido intransigente que mezcla urgencia generacional y cultura de club, combinando guitarras y electrónica con géneros como el trance, la mákina o el garage. Con discos como “Escama” y “Turboviolencia”, y tras una intensa trayectoria, VVV (Trippin’you) se ha consolidado como una experiencia en directo tan física como perturbadora, convertida ya en referencia para una nueva generación."""	
"1111,Viernes,https://warmupfestival.es/portfolio/1111/,""La electrónica de club y la experimentación llegan con 1111, un colectivo de electrónica afincado en Madrid, que desde su creación en 2022 ha desarrollado una identidad propia dentro de la nueva escena alternativa. Tras sus primeros lanzamientos, el proyecto se consolida con “Tres de Palacio”, un disco coral que reúne múltiples colaboraciones y amplía su universo sonoro, combinando cohesión, riesgo y experimentación. Su música mezcla elementos que rara vez conviven, dando forma a una propuesta electrónica mutante y emocional que sigue evolucionando en 2025."""	
"Blackpanda,Viernes,https://warmupfestival.es/portfolio/blackpanda/,""Blackpanda es un dúo madrileño formado por Marta Marlo y Andrés Lim. Tras varios años publicando singles y un EP, llegan a Murcia con su LP, «Vapor y Cielo», un trabajo conceptual que toma el ciclo del agua como metáfora de los procesos vitales. Su propuesta se completa con un potente imaginario visual, plasmado en videoclips que han destacado por su factura y coherencia estética, reforzando el carácter envolvente y cinematográfico que define el proyecto."""	
"Drea,Viernes,https://warmupfestival.es/portfolio/drea/,""Drea, productora española que se ha consolidado como una de las artistas más dinámicas y versátiles de la escena de club europea. Su formación le permite crear sets eclécticos que van desde el R&B noventero y el jazz hasta house, future beats y funk brasileño, con un dominio técnico que la ha llevado a ser residente en Rinse FM UK y debutar en Boiler Room con más de medio millón de reproducciones. Su participación garantiza uno de los sets más influyentes y dinámicos del festival."""	
"Juguete,Viernes,https://warmupfestival.es/portfolio/juguete/,""Juguete, referente del underground español. Sus sets transitan desde electro sucio hasta progressive house hipnótico, con una sensibilidad pop que se combina con su labor en el colectivo Girltoy. Su propuesta es transgresora, efervescente y garantizada para generar intensidad sobre el escenario."""	
"Neoverbeneo,Viernes,https://warmupfestival.es/portfolio/neoverbeneo/,""Neoverbeneo, una de las apuestas más frescas y transgresoras del panorama actual, que combina electrónica, performance y estética radical en un directo imprevisible y magnético."""	
"Panasoma,Viernes,https://warmupfestival.es/portfolio/panasoma/,""Panasoma es un dúo de DJs formado por Rafa & Rafa, dos selectores que comparten cabina y una visión clara: sesiones sin etiquetas y con mucha personalidad. Su propuesta mezcla indie, electrónica, pop alternativo"""	
"Rem djs,Viernes,https://warmupfestival.es/portfolio/rem-djs/,""¡Apenas necesitan presentación! Rem DJs convierten cada sesión en un ejercicio de conexión directa con la pista. Su selección transita con naturalidad entre electrónica, hits inesperados y guiños alternativos, construyendo sets dinámicos que crecen en intensidad y mantienen el pulso hasta el último tema. Con ellos, el baile no es una opción: es el punto de partida."""	
"Riria,Viernes,https://warmupfestival.es/portfolio/riria/,""La diversidad sonora se amplía con Riria, que pese a su juventud ha conectado con una nueva generación gracias a su mezcla de bedroom pop y electrónica íntima combinando hits clásicos de culto y joyas del underground. Su propuesta estética y emocional y su frescura así como su paso por Boiler Room Tokyo 2024 –que la llevó a más de un millón de visualizaciones en pocas semanas y varios temas virales- la situó en el radar internacional como una de las artistas más prometedoras del momento."""	
"Ruptura,Viernes,https://warmupfestival.es/portfolio/ruptura/,""Ruptura es una artista multidisciplinar que, desde su base en Madrid, ha colaborado con múltiples proyectos artísticos como los de Belen Aguilera, María Blaya o Natalia Lacunza. Creando un universo único en el que se fusionan géneros como la guaracha, el trance y la makina. Todes saben que esta ruptura es la definitiva."""	
"FatBoy Slim,Sábado,https://warmupfestival.es/portfolio/fatboy-slim/,""Fatboy Slim encabeza la lista como uno de los grandes reclamos internacionales. El legendario DJ y productor, pionero del big beat, continúa en 2025 siendo un referente absoluto de la música electrónica en directo. Sus sesiones combinan bases rítmicas funky y clásicos generacionales con renovadas puestas en escena que garantizan una experiencia única. El británico ha logrado traspasar los límites entre el rock y la electrónica con su actitud irreverente y su fusión de house, acid y funk."""	
"Bloc Party,Sábado,https://warmupfestival.es/portfolio/bloc-party/,""Bloc Party no necesitan presentación. Referentes indiscutibles del indie rock británico, la banda continúa celebrando el legado de “Silent Alarm” mientras mantiene viva su evolución sonora iniciada en sus últimos trabajos y ha definido su trayectoria. Su paso por Murcia será una gran oportunidad para reencontrarse con la combinación de himnos que ha marcado toda una generación y para comprobar su gran energía sobre el escenario que les ha llevado a ser nombre clave en los grandes festivales europeos."""	
"Lori Meyers,Sábado,https://warmupfestival.es/portfolio/lori-meyers/,""Desde Granada, Lori Meyers regresan a Murcia en un momento especialmente sólido. Con más de dos décadas de carrera, la banda ha sabido renovarse sin perder su identidad y marcando el pulso del indie nacional. Su directo en #WARMUP2026 combinará grandes clásicos con nuevos temas en los que está trabajando este año, en un directo que siempre destaca por su contundencia y conexión con el público."""	
"Rusowsky,Sábado,https://warmupfestival.es/portfolio/rusowsky/,""Rusowsky, una de las figuras clave del sonido emocional y experimental que ha conectado con una nueva generación. Productor, compositor y artista total, su universo mezcla pop mutante, electrónica doméstica y sensibilidad generacional. Tras consolidar su discurso con nuevos lanzamientos y colaboraciones en los últimos años, Rusowsky se ha convertido en una referencia imprescindible del pop alternativo actual, tanto por su sonido como por su estética y narrativa personal."""	
"Carlos Ares,Sábado,https://warmupfestival.es/portfolio/carlos-ares/,""Carlos Ares es una de las voces jóvenes más personales de la escena actual. Multiinstrumentista, compositor y productor, el gallego llega a 2025 con “La Boca del Lobo”, un trabajo introspectivo que subraya su versatilidad tras más de once años de carrera y que es la continuidad de su debut “Peregrino” (2024). Sin lugar a dudas, el artista gallego se ha consolidado, en muy poco tiempo, en uno de los proyectos más insólitos, identificables y creativos de los últimos años."""	
"La La Love You,Sábado,https://warmupfestival.es/portfolio/la-la-love-you/,""La La Love You, una de las bandas de pop-punk y power pop más queridas del país. Tras varios años encadenando éxitos virales y giras multitudinarias, la banda llega a Murcia en plena madurez, con un setlist cargado de melodías luminosas, estribillos y una conexión con el público que los ha convertido en uno de los nombres imprescindibles del circuito nacional."""	
"Ojete Calor,Sábado,https://warmupfestival.es/portfolio/ojete-calor/,""La fiesta correrá a cargo de Ojete Calor, creadores del “subnopop” y responsables de algunos de los shows más imprevisibles en el que no falta el humor y una buena dosis de ironía, electropop y letras delirantes que ya son himnos generacionales como ‘Vete a tu Casa’, ‘Opino de que’ o ‘Tonta Gilipó’. En 2026 siguen consolidando su universo propio, donde humor, electrónica y espectáculo se combinan en un directo absolutamente festivo."""	
"Repion,Sábado,https://warmupfestival.es/portfolio/repion/,""Repion es otro de los nombres que se incorpora a este cierre de cartel de #WARMUP2026. La banda que continúa afianzando su crecimiento dentro de la escena alternativa estatal. Con un sonido cada vez más sólido y una presencia escénica arrolladora, las hermanas Marina y Teresa Iñesta presentará su último trabajo “201”, un disco más urbano y menos nostálgico y que consolida un estilo basado en la fusión perfecta de intensidad sonora y melódica."""	
"Firmado, Carlota,Sábado,https://warmupfestival.es/portfolio/firmado-carlota/,""Firmado Carlota es una artista española multidisciplinar que combina ilustración y música. Su proyecto musical se mueve entre el pop e indie alternativo, con letras íntimas y generacionales que conectan con el público joven, manteniendo una estética muy personal y coherente con su universo visual."""	
"Flaca,Sábado,https://warmupfestival.es/portfolio/flaca/,""Flaca, proyecto emergente que destaca por su sensibilidad, su enfoque íntimo y su conexión con el nuevo pop alternativo"""	
Flash Stereo Club Djs,Sábado,https://warmupfestival.es/portfolio/flash-stereo-club-djs/,Herramientas de accesibilidad Invertir colores Monocromo Oscuro Contraste Contraste claro Baja saturación Alta saturación Enlaces destacados Títulos destacados Lector de pantalla Modo de lectura Escalamiento de contenido 100% Tamaño de fuente 100% Altura de la línea 100% Espaciado de letras 100% Web Accessibility plugin by DJ-Extensions.com	
"Karavana,Sábado,https://warmupfestival.es/portfolio/karavana/,""Karavana, una de las bandas que mejor ha sabido capturar el espíritu generacional de los últimos años. Con canciones que combinan guitarras, emoción y estribillos memorables, llegarán a Murcia consolidado como uno de los nombres más sólidos del circuito alternativo, con un directo que destaca por su cercanía y energía."""	
"La Paloma,Sábado,https://warmupfestival.es/portfolio/la-paloma/,""La Paloma, una de las bandas más respetadas del nuevo rock independiente español. Su sonido, crudo y elegante a la vez, bebe del post-punk, el noise y el pop oscuro, construyendo canciones que destacan por su tensión emocional y su coherencia artística. En directo, La Paloma ofrece una experiencia intensa y envolvente que los ha convertido en una apuesta segura en los grandes escenarios."""	
"Las Petunias,Sábado,https://warmupfestival.es/portfolio/las-petunias/,""Las Petunias, trío madrileño que continúa expandiendo su sonido fresco, guitarrero y de espíritu riot, consolidándose como una presencia imprescindible en la nueva escena independiente."""	
"Viva Belgrado,Sábado,https://warmupfestival.es/portfolio/viva-belgrado/,""Por su parte, Viva Belgrado aportan la intensidad característica de su post-hardcore emocional. Con cuatro discos a sus espaldas, la banda cordobesa se ha consolidado como una de las propuestas más respetadas dentro del panorama alternativo. Llegan con “Cancionero de los Cielos”, un álbum con el que se han abierto a los teclados, las melodías e incluso una ranchera, algo inaudito en una banda que, hasta ahora, había hecho de las estructuras progresivas su seña de identidad. Sus directos se han convertido en una experiencia catártica que, sin lugar a dudas, marcará un antes y un después en #WARMUP2026."""	
"Cora Novoa,Sábado,https://warmupfestival.es/portfolio/cora-novoa/,""Cora Novoa, productora, DJ y directora creativa que ha redefinido la música electrónica española desde la intersección del arte, la tecnología y la experimentación sonora. Fundadora del sello independiente Seeking the Velvet, ha desarrollado una discografía conceptual que explora desde sonoridades melódicas hasta paisajes más radicales con sintetizadores modulares y cajas de ritmo analógicas. Su directo, capaz de fusionar sensibilidad, técnica y vanguardia, la convierte en una de las artistas clave de #WARMUP2026."""	
"Fades,Sábado,https://warmupfestival.es/portfolio/fades/,""Fades, proyecto musical que está redefiniendo la escena pop catalana con un sonido electrónico fresco, irreverente y totalmente bailable. Con influencias que van desde el hip-hop estadounidense hasta K-pop, pasando por la nueva ola del reggaeton y el trap español, Fades combina ritmos pegadizos, melodías procesadas con autotune y una estética transgresora inspirada en la cultura queer. El trío se ha consolidado como uno de los directos más innovadores y rompedoras de la música catalana contemporánea, asegurando un show inolvidable."""	
"Fukcnormal,Sábado,https://warmupfestival.es/portfolio/fukcnormal/,""Fukcnormal es el proyecto musical de Paola, artista madrileña que concibe el club como un espacio sagrado de exploración interior, cuidado radical y resistencia queer. Con formación en danza, lleva a la cabina una propuesta física e instintiva que se mueve entre la experimentación electrónica, la urgencia del dancefloor y la catarsis emocional. Sus sesiones, siempre fluidas y de vanguardia, mezclan sensualidad, sintetizadores psicodélicos, ritmos de raíz latina y texturas crudas propias del underground. Figura clave de la noche madrileña y residente en el espacio DIY Enigma, Paola continúa expandiendo su presencia en la escena internacional, actuando en clubs y festivales de referencia dentro y fuera de España."""	
"Hadren,Sábado,https://warmupfestival.es/portfolio/hadren/,""Hadren es una de las promesas más intrigantes de la escena electrónica de Barcelona. Este productor, diseñador sonoro y DJ destaca por su alter ego azul, que encarna su exploración profunda y oscura del sonido. Su estilo fusiona deconstructed club, avant-pop, ambient y techno, todo desde una perspectiva queer que se refleja tanto en sus producciones como en sus directos. Con texturas ruidistas y una puesta en escena que desafía lo convencional, Hadren te sumerge en un viaje sensorial donde lo emocional y lo transgresor se encuentran."""	
"Meritxell de Soto,Sábado,https://warmupfestival.es/portfolio/meritxell-de-soto/,""Basada en ritmos rotos y bajos contundentes, su sonido se mueve con soltura entre la sensualidad y la energía, con una propuesta que amplía los márgenes del club. Sus sets son una invitación directa a la pista: un viaje donde la música bass se entrelaza con club deconstruido junto con algunos destellos de techno"	" todo atravesado por un lenguaje femenino que guía tanto sus selecciones como su manera de mezclar."""
"PatataOnStereo,Sábado,https://warmupfestival.es/portfolio/patataonstereo/,""Pese a su juventud, este productor vallecano se ha paseado ya como dj en cabinas tan emblemáticas como la de Fabrik. También ha acompañando en su regreso a Cecilio G, colaborando como productor con Crist Dillinger y Roomtrash en su nuevo track ‘Mejor no’ y remezclando a Ghouljaboy. Hiperactivo a más no poder, este 2025 también presentará un un nuevo EP, donde sorprende sus coqueteos con el house melódico."""	
"Piem,Sábado,https://warmupfestival.es/portfolio/piem/,""Piem mezcla electrónica, ritmos urbanos y pop en una propuesta melódica y moderna"""	
"Pogo Djs,Sábado,https://warmupfestival.es/portfolio/pogo-djs/,""Techno intenso y sets diseñados para la pista de baile, convirtiéndose en piezas clave de la experiencia #WARMUP2026."""	
